Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
578	2	AD	Light	1	1	2277	0	2528	4805	47.4	0	52.6	3.357	0	3.403	3.682
579	2	AD	Light	1	1	0	0	5367	5367	0	0	100	0	0	3.73	3.73
712	2	AD	Light	1	2	195	0	0	195	100	0	0	2.29	0	0	2.29
716	2	AD	Light	1	2	0	0	10136	10136	0	0	100	0	0	4.006	4.006
718	2	AD	Light	1	2	3548	0	1640	5187	68.4	0	31.6	3.55	0	3.215	3.715
719	2	AD	Light	1	2	5265	0	17660	22925	23	0	77	3.721	0	4.247	4.36
720	2	AD	Light	1	2	1110	0	39348	40458	2.7	0	97.3	3.045	0	4.595	4.607
856	2	AD	Light	1	3	10358	0	17868	28226	36.7	0	63.3	4.015	0	4.252	4.451
858	2	AD	Light	1	3	8741	0	13652	22393	39	0	61	3.942	0	4.135	4.35
859	2	AD	Light	1	3	4850	0	4572	9422	51.5	0	48.5	3.686	0	3.66	3.974
860	2	AD	Light	1	3	16677	0	7782	24459	68.2	0	31.8	4.222	0	3.891	4.388
1002	2	AD	Dark	2	1	1348	0	15053	16401	8.2	0	91.8	3.13	0	4.178	4.215
1006	2	AD	Dark	2	1	47755	0	15251	63006	75.8	0	24.2	4.679	0	4.183	4.799
1008	2	AD	Dark	2	1	72264	0	46065	118329	61.1	0	38.9	4.859	0	4.663	5.073
1009	2	AD	Dark	2	1	16510	0	21638	38147	43.3	0	56.7	4.218	0	4.335	4.581
1010	2	AD	Dark	2	1	33563	0	144944	178507	18.8	0	81.2	4.526	0	5.161	5.252
1222	2	AD	Dark	2	2	730	0	3859	4590	15.9	0	84.1	2.864	0	3.587	3.662
1226	2	AD	Dark	2	2	34838	0	31019	65857	52.9	0	47.1	4.542	0	4.492	4.819
1228	2	AD	Dark	2	2	30814	0	3485	34300	89.8	0	10.2	4.489	0	3.542	4.535
1229	2	AD	Dark	2	2	34662	0	0	34662	100	0	0	4.54	0	0	4.54
1230	2	AD	Dark	2	2	5449	0	0	5449	100	0	0	3.736	0	0	3.736
1242	2	AD	Dark	2	3	3636	0	713	4349	83.6	0	16.4	3.561	0	2.853	3.638
1246	2	AD	Dark	2	3	34018	0	40976	74994	45.4	0	54.6	4.532	0	4.613	4.875
1248	2	AD	Dark	2	3	64333	0	118238	182570	35.2	0	64.8	4.808	0	5.073	5.261
1249	2	AD	Dark	2	3	150908	0	30624	181532	83.1	0	16.9	5.179	0	4.486	5.259
1250	2	AD	Dark	2	3	31361	0	14819	46180	67.9	0	32.1	4.496	0	4.171	4.664
992	2	AD	Light	2	1	170	0	1168	1337	12.7	0	87.3	2.23	0	3.067	3.126
996	2	AD	Light	2	1	2758	0	26438	29196	9.4	0	90.6	3.441	0	4.422	4.465
998	2	AD	Light	2	1	34669	0	39227	73896	46.9	0	53.1	4.54	0	4.594	4.869
